============================================================
Sistema POS — Actualizador de OTA
Sesión ID  : 1777998550071
Fecha/Hora : 2026-05-05 13:29:10.072903
Componente : backend
Versión    : 1.3.2
ZIP        : C:\Users\gines\AppData\Local\Temp\update_backend_v1.3.2.zip
Destino    : C:\laragon\www\Sistema_POS\pos-backend
============================================================
[INFO ] [13:29:10.074] Updater iniciado correctamente.
[INFO ] [13:29:10.074] PID del proceso: 17236
[INFO ] [13:29:10.180] Plataforma: windows "Windows 10 Home" 10.0 (Build 19045)
[INFO ] [13:29:10.181] ZIP verificado (13.92 MB)
[INFO ] [13:29:10.182] Esperando 3 segundos para que el backend libere archivos...
[INFO ] [13:29:13.188] Iniciando extracción del ZIP...
[INFO ] [13:29:13.201] ZIP leído en memoria (14593761 bytes).
[INFO ] [13:29:13.246] ZIP decodificado: 9247 entradas encontradas.
[INFO ] [13:29:13.272]   → 10 archivos extraídos...
[INFO ] [13:29:13.294]   → 20 archivos extraídos...
[INFO ] [13:29:13.319]   → 30 archivos extraídos...
[INFO ] [13:29:13.335]   → 40 archivos extraídos...
[INFO ] [13:29:13.358]   → 50 archivos extraídos...
[INFO ] [13:29:13.388]   → 60 archivos extraídos...
[INFO ] [13:29:13.413]   → 70 archivos extraídos...
[INFO ] [13:29:13.433]   → 80 archivos extraídos...
[INFO ] [13:29:13.449]   → 90 archivos extraídos...
[INFO ] [13:29:13.475]   → 100 archivos extraídos...
[INFO ] [13:29:13.504]   → 110 archivos extraídos...
[INFO ] [13:29:13.533]   → 120 archivos extraídos...
[INFO ] [13:29:13.553]   → 130 archivos extraídos...
[INFO ] [13:29:13.575]   → 140 archivos extraídos...
[INFO ] [13:29:13.598]   → 150 archivos extraídos...
[INFO ] [13:29:13.633]   → 160 archivos extraídos...
[INFO ] [13:29:13.663]   → 170 archivos extraídos...
[INFO ] [13:29:13.692]   → 180 archivos extraídos...
[INFO ] [13:29:13.720]   → 190 archivos extraídos...
[INFO ] [13:29:13.749]   → 200 archivos extraídos...
[INFO ] [13:29:13.773]   → 210 archivos extraídos...
[INFO ] [13:29:13.798]   → 220 archivos extraídos...
[INFO ] [13:29:13.815]   → 230 archivos extraídos...
[INFO ] [13:29:13.833]   → 240 archivos extraídos...
[INFO ] [13:29:13.855]   → 250 archivos extraídos...
[INFO ] [13:29:13.883]   → 260 archivos extraídos...
[INFO ] [13:29:13.912]   → 270 archivos extraídos...
[INFO ] [13:29:13.930]   → 280 archivos extraídos...
[INFO ] [13:29:13.947]   → 290 archivos extraídos...
[INFO ] [13:29:13.972]   → 300 archivos extraídos...
[INFO ] [13:29:13.992]   → 310 archivos extraídos...
[INFO ] [13:29:14.021]   → 320 archivos extraídos...
[INFO ] [13:29:14.047]   → 330 archivos extraídos...
[INFO ] [13:29:14.079]   → 340 archivos extraídos...
[INFO ] [13:29:14.098]   → 350 archivos extraídos...
[INFO ] [13:29:14.113]   → 360 archivos extraídos...
[INFO ] [13:29:14.136]   → 370 archivos extraídos...
[INFO ] [13:29:14.160]   → 380 archivos extraídos...
[INFO ] [13:29:14.182]   → 390 archivos extraídos...
[INFO ] [13:29:14.203]   → 400 archivos extraídos...
[INFO ] [13:29:14.223]   → 410 archivos extraídos...
[INFO ] [13:29:14.240]   → 420 archivos extraídos...
[INFO ] [13:29:14.260]   → 430 archivos extraídos...
[INFO ] [13:29:14.276]   → 440 archivos extraídos...
[INFO ] [13:29:14.295]   → 450 archivos extraídos...
[INFO ] [13:29:14.321]   → 460 archivos extraídos...
[INFO ] [13:29:14.342]   → 470 archivos extraídos...
[INFO ] [13:29:14.357]   → 480 archivos extraídos...
[INFO ] [13:29:14.381]   → 490 archivos extraídos...
[INFO ] [13:29:14.398]   → 500 archivos extraídos...
[INFO ] [13:29:14.418]   → 510 archivos extraídos...
[INFO ] [13:29:14.456]   → 520 archivos extraídos...
[INFO ] [13:29:14.477]   → 530 archivos extraídos...
[INFO ] [13:29:14.502]   → 540 archivos extraídos...
[INFO ] [13:29:14.525]   → 550 archivos extraídos...
[INFO ] [13:29:14.558]   → 560 archivos extraídos...
[INFO ] [13:29:14.582]   → 570 archivos extraídos...
[INFO ] [13:29:14.601]   → 580 archivos extraídos...
[INFO ] [13:29:14.623]   → 590 archivos extraídos...
[INFO ] [13:29:14.644]   → 600 archivos extraídos...
[INFO ] [13:29:14.674]   → 610 archivos extraídos...
[INFO ] [13:29:14.700]   → 620 archivos extraídos...
[INFO ] [13:29:14.722]   → 630 archivos extraídos...
[INFO ] [13:29:14.742]   → 640 archivos extraídos...
[INFO ] [13:29:14.766]   → 650 archivos extraídos...
[INFO ] [13:29:14.811]   → 660 archivos extraídos...
[INFO ] [13:29:14.830]   → 670 archivos extraídos...
[INFO ] [13:29:14.854]   → 680 archivos extraídos...
[INFO ] [13:29:14.871]   → 690 archivos extraídos...
[INFO ] [13:29:14.908]   → 700 archivos extraídos...
[INFO ] [13:29:14.929]   → 710 archivos extraídos...
[INFO ] [13:29:14.954]   → 720 archivos extraídos...
[INFO ] [13:29:14.972]   → 730 archivos extraídos...
[INFO ] [13:29:15.002]   → 740 archivos extraídos...
[INFO ] [13:29:15.022]   → 750 archivos extraídos...
[INFO ] [13:29:15.047]   → 760 archivos extraídos...
[INFO ] [13:29:15.062]   → 770 archivos extraídos...
[INFO ] [13:29:15.091]   → 780 archivos extraídos...
[INFO ] [13:29:15.121]   → 790 archivos extraídos...
[INFO ] [13:29:15.145]   → 800 archivos extraídos...
[INFO ] [13:29:15.172]   → 810 archivos extraídos...
[INFO ] [13:29:15.192]   → 820 archivos extraídos...
[INFO ] [13:29:15.216]   → 830 archivos extraídos...
[INFO ] [13:29:15.256]   → 840 archivos extraídos...
[INFO ] [13:29:15.281]   → 850 archivos extraídos...
[INFO ] [13:29:15.302]   → 860 archivos extraídos...
[INFO ] [13:29:15.317]   → 870 archivos extraídos...
[INFO ] [13:29:15.354]   → 880 archivos extraídos...
[INFO ] [13:29:15.372]   → 890 archivos extraídos...
[INFO ] [13:29:15.406]   → 900 archivos extraídos...
[INFO ] [13:29:15.432]   → 910 archivos extraídos...
[INFO ] [13:29:15.452]   → 920 archivos extraídos...
[INFO ] [13:29:15.473]   → 930 archivos extraídos...
[INFO ] [13:29:15.491]   → 940 archivos extraídos...
[INFO ] [13:29:15.508]   → 950 archivos extraídos...
[INFO ] [13:29:15.537]   → 960 archivos extraídos...
[INFO ] [13:29:15.561]   → 970 archivos extraídos...
[INFO ] [13:29:15.587]   → 980 archivos extraídos...
[INFO ] [13:29:15.607]   → 990 archivos extraídos...
[INFO ] [13:29:15.636]   → 1000 archivos extraídos...
[INFO ] [13:29:15.653]   → 1010 archivos extraídos...
[INFO ] [13:29:15.675]   → 1020 archivos extraídos...
[INFO ] [13:29:15.693]   → 1030 archivos extraídos...
[INFO ] [13:29:15.712]   → 1040 archivos extraídos...
[INFO ] [13:29:15.741]   → 1050 archivos extraídos...
[INFO ] [13:29:15.757]   → 1060 archivos extraídos...
[INFO ] [13:29:15.782]   → 1070 archivos extraídos...
[INFO ] [13:29:15.811]   → 1080 archivos extraídos...
[INFO ] [13:29:15.846]   → 1090 archivos extraídos...
[INFO ] [13:29:15.880]   → 1100 archivos extraídos...
[INFO ] [13:29:15.905]   → 1110 archivos extraídos...
[INFO ] [13:29:15.942]   → 1120 archivos extraídos...
[INFO ] [13:29:15.963]   → 1130 archivos extraídos...
[INFO ] [13:29:15.986]   → 1140 archivos extraídos...
[INFO ] [13:29:16.003]   → 1150 archivos extraídos...
[INFO ] [13:29:16.024]   → 1160 archivos extraídos...
[INFO ] [13:29:16.047]   → 1170 archivos extraídos...
[INFO ] [13:29:16.069]   → 1180 archivos extraídos...
[INFO ] [13:29:16.101]   → 1190 archivos extraídos...
[INFO ] [13:29:16.119]   → 1200 archivos extraídos...
[INFO ] [13:29:16.142]   → 1210 archivos extraídos...
[INFO ] [13:29:16.164]   → 1220 archivos extraídos...
[INFO ] [13:29:16.182]   → 1230 archivos extraídos...
[INFO ] [13:29:16.203]   → 1240 archivos extraídos...
[INFO ] [13:29:16.221]   → 1250 archivos extraídos...
[INFO ] [13:29:16.246]   → 1260 archivos extraídos...
[INFO ] [13:29:16.270]   → 1270 archivos extraídos...
[INFO ] [13:29:16.299]   → 1280 archivos extraídos...
[INFO ] [13:29:16.315]   → 1290 archivos extraídos...
[INFO ] [13:29:16.341]   → 1300 archivos extraídos...
[INFO ] [13:29:16.358]   → 1310 archivos extraídos...
[INFO ] [13:29:16.396]   → 1320 archivos extraídos...
[INFO ] [13:29:16.433]   → 1330 archivos extraídos...
[INFO ] [13:29:16.466]   → 1340 archivos extraídos...
[INFO ] [13:29:16.496]   → 1350 archivos extraídos...
[INFO ] [13:29:16.522]   → 1360 archivos extraídos...
[INFO ] [13:29:16.545]   → 1370 archivos extraídos...
[INFO ] [13:29:16.562]   → 1380 archivos extraídos...
[INFO ] [13:29:16.577]   → 1390 archivos extraídos...
[INFO ] [13:29:16.611]   → 1400 archivos extraídos...
[INFO ] [13:29:16.717]   → 1410 archivos extraídos...
[INFO ] [13:29:16.733]   → 1420 archivos extraídos...
[INFO ] [13:29:16.749]   → 1430 archivos extraídos...
[INFO ] [13:29:16.857]   → 1440 archivos extraídos...
[INFO ] [13:29:16.986]   → 1450 archivos extraídos...
[INFO ] [13:29:17.088]   → 1460 archivos extraídos...
[INFO ] [13:29:17.251]   → 1470 archivos extraídos...
[INFO ] [13:29:17.447]   → 1480 archivos extraídos...
[INFO ] [13:29:17.552]   → 1490 archivos extraídos...
[INFO ] [13:29:17.577]   → 1500 archivos extraídos...
[INFO ] [13:29:17.628]   → 1510 archivos extraídos...
[INFO ] [13:29:17.670]   → 1520 archivos extraídos...
[INFO ] [13:29:17.902]   → 1530 archivos extraídos...
[INFO ] [13:29:17.933]   → 1540 archivos extraídos...
[INFO ] [13:29:17.986]   → 1550 archivos extraídos...
